,,fidelity,fidelity,valid_portion,valid_portion
,,mean,std,mean,std
address,select,,,,
++,False,0.5951778979638735,0.01955662427953769,1.0,0.0
++,True,0.7502355390296959,0.017857618957855186,0.6582463335825203,0.012418263711797245
+0,False,0.6480302142773459,0.03176099146290839,1.0,0.0
+0,True,0.7678127815133033,0.022061196686722035,0.6564875681893234,0.009811769419491884
+1,False,0.6151741665736343,0.022525947483008915,1.0,0.0
+1,True,0.7671398748464698,0.024840913447632295,0.6819030722166503,0.006754088716631635
0+,False,0.6662774886302791,0.02072151289332402,1.0,0.0
0+,True,0.8062926107290165,0.019043887375770584,0.6695235430149014,0.015146005828414912
0+,noresponesebranch,0.7071383890843957,0.022611069221035583,0.8118850733578435,0.009113144348256465
0+,responsebranch,0.7795841077734389,0.017713887809157888,0.8018396011302418,0.012273952502421963
00,False,0.7037674578245107,0.01701260523204973,1.0,0.0
00,True,0.7885796267841857,0.013860331186918798,0.6646277236119489,0.017355832443900324
01,False,0.7064200784372906,0.019134396038621045,1.0,0.0
01,True,0.8178546253896282,0.02323681079199227,0.6759468414016261,0.014706004045665749
1+,False,0.6522408659253629,0.023401968468489034,1.0,0.0
1+,True,0.7991374668341068,0.025917195009890634,0.6526491931328159,0.011578366552245931
1+,noresponesebranch,0.7095790877799769,0.024334220794422868,0.8156660898029187,0.009151758223570578
1+,responsebranch,0.7564389610828595,0.02503256607256469,0.774879411314821,0.00926894312885384
10,False,0.7019030024730459,0.010152739738641996,1.0,0.0
10,True,0.7937482097921407,0.01248974819330775,0.6780654680239675,0.007374272390960877
11,False,0.6870687986912682,0.017749728069094264,1.0,0.0
11,True,0.8341808562610139,0.01969621952891461,0.6246524697130637,0.011621396031759565
