name,width,qpu_width,two_gate_num,FM_DataFlux,RawFMDataFlux,FM_Latency,RawFMLatency,FM_Fidelity,RawFMFidelity,FM_QU,RawFMQU
qsvm_10,10,5,34,4,4,7.915e-05,7.915e-05,0.97708821,0.97708821,0.27896787,0.25067321
qknn_10,10,5,32,6,9,0.00010405,0.00014995,0.96575574,0.9523227,0.61425551,0.463701
wstate_10,10,5,8,0,0,3.2e-06,3.2e-06,0.99831135,0.99831135,0.65758755,0.65758755
ghz_10,10,5,9,1,2,1.985e-05,3.515e-05,0.99420477,0.99023391,0.47773567,0.33278067
BV_10,10,5,4,0,1,2.15e-06,1.745e-05,0.99890056,0.99491095,0.20687679,0.20687679
QAOA_10,10,5,45,5,10,8.51e-05,0.0001004,0.97134802,0.95210452,0.71141352,0.42961966
vqe_10,10,5,198,102,132,0.0006095,0.0007013,0.63844093,0.56621231,0.65895404,0.6270168
QAOA_30,30,27,145,5,10,9.505e-05,0.0001104,0.95201789,0.93315733,0.41772106,0.20336694
QAOA_30,30,10,145,10,45,0.0001104,0.00027865,0.93315733,0.81119119,0.45763073,0.3033013
QAOA_30,30,5,145,25,50,0.0001563,0.000294,0.8787881,0.79512057,0.41708195,0.29747049
qknn_30,30,27,112,3,24,0.00013055,0.00040595,0.94947589,0.87995619,0.30663379,0.13114225
qknn_30,30,10,112,34,36,0.00055895,0.00058955,0.83869583,0.83869583,0.24757616,0.12215737
qsvm_30,30,10,114,8,23,0.00018235,0.00041185,0.94555128,0.89045993,0.10272501,0.08141931
qknn_30,30,5,112,50,46,0.00080375,0.00074255,0.78983028,0.80257562,0.20473726,0.13812216
qsvm_30,30,27,114,4,26,0.00012115,0.00045775,0.96080947,0.87983298,0.10345276,0.0892121
qsvm_30,30,5,114,20,35,0.00036595,0.00059545,0.90121523,0.84870706,0.0947676,0.08733677
ghz_30,30,5,29,5,10,9.105e-05,0.00016755,0.9745102,0.95520404,0.16992544,0.13925024
ghz_30,30,10,29,2,5,4.515e-05,9.105e-05,0.98628069,0.9745102,0.19381832,0.11750468
ghz_30,30,27,29,1,7,2.985e-05,0.00012165,0.99023569,0.96674135,0.21003636,0.11841593
wstate_30,30,5,28,4,8,5.445e-05,0.00010005,0.97833974,0.96280316,0.35468516,0.27119901
wstate_30,30,10,28,2,2,3.895e-05,3.905e-05,0.9862018,0.9862018,0.46173098,0.26665686
wstate_30,30,27,28,0,0,8.7e-06,8.7e-06,0.99412703,0.99412703,0.36313194,0.36313194
BV_30,30,5,17,13,13,0.00020755,0.00020755,0.94523076,0.94523076,0.0673412,0.0673412
BV_30,30,10,17,8,9,0.00013105,0.00014635,0.96433534,0.96048378,0.06773496,0.06762328
BV_30,30,27,17,0,2,8.65e-06,3.925e-05,0.99570906,0.98777121,0.06923312,0.07023355
QAOA_50,50,10,245,20,70,0.000151,0.00036515,0.87870814,0.71935339,0.29270588,0.22365501
QAOA_50,50,27,245,5,25,0.00010505,0.00022745,0.93307242,0.86129993,0.29999332,0.14921431
qknn_50,50,10,192,67,69,0.00107505,0.00112095,0.71822167,0.70681591,0.14526294,0.08680267
qknn_50,50,27,192,37,38,0.00060075,0.00064665,0.80660678,0.80822242,0.16366473,0.09255544
qsvm_50,50,10,194,16,58,0.00034675,0.00098935,0.90050103,0.76117801,0.06060359,0.05074568
qsvm_50,50,27,194,4,23,0.00016315,0.00045385,0.94480195,0.87562446,0.06285718,0.05158729
v q e_30,30,27,1798,139,340,0.0010544,0.00235755,0.27334917,0.05774129,0.58296327,0.32382177
vqe_30,30,10,1798,394,750,0.0018555,0.00231255,0.02843493,0.01028936,0.55067143,0.54213508
ghz_50,50,10,49,4,13,8.575e-05,0.00022345,0.97451195,0.94003656,0.10187442,0.07250763
ghz_50,50,27,49,1,3,3.985e-05,7.045e-05,0.98628246,0.97841976,0.15122972,0.07203498
wstate_50,50,10,48,4,14,5.97e-05,0.00015105,0.97423913,0.93601994,0.32047449,0.18997838
wstate_50,50,27,48,0,0,1.42e-05,1.42e-05,0.98996026,0.98996026,0.24688035,0.24688035
BV_50,50,10,22,13,15,0.00021005,0.00024065,0.94371955,0.93619616,0.04068555,0.04059838
BV_50,50,27,22,0,0,1.115e-05,1.115e-05,0.99411714,0.99411714,0.04199032,0.0529148
QAOA_80,80,27,395,10,85,0.0001354,0.0004261,0.88742261,0.65732016,0.24132266,0.14652868
QAOA_80,80,65,395,5,45,0.00012005,0.0002425,0.90535879,0.77143411,0.23125774,0.15111802
