qpu_width,name,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,latency_num_cuts,latency_subcircuits_num,latency_DataFlux,latency_Latency,latency_Fidelity
50,graphstate_nativegates_ibm_qiskit_opt3_84,2.0,2.0,32.0,3.3999999999999988e-06,0.8999957619414266,,,,,,,,,,,,,,,
50,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,3.0,2.0,48,2.9499999999999993e-06,0.8990957776905586,,,,,,,,,,
27,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,4.0,4.0,48,3.3999999999999988e-06,0.8981966935921111,,,,,
27,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,,,,,,4.0,4.0,48,3.3999999999999988e-06,0.8981966935921109
65,graphstate_nativegates_ibm_qiskit_opt3_84,2.0,2.0,32.0,3.3999999999999988e-06,0.899995761761386,,,,,,,,,,,,,,,
16,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,8.0,7.0,48,3.3999999999999988e-06,0.8946093389364015,,,,,
65,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,2.0,2.0,32,3.249999999999999e-06,0.8999957617613862,,,,,,,,,,
16,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,8.0,7.0,48,3.249999999999999e-06,0.8946093389364016,,,,,,,,,,
65,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,2.0,2.0,32,3.3999999999999988e-06,0.8999957617613863,,,,,
16,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,,,,,,8.0,7.0,48,3.249999999999999e-06,0.8946093389364016
27,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,4.0,4.0,48,3.3999999999999988e-06,0.8981966935921109,,,,,,,,,,
50,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,3.0,2.0,48,3.3999999999999988e-06,0.8990957776905587,,,,,
65,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,,,,,,2.0,2.0,32,3.249999999999999e-06,0.8999957617613862
50,graphstate_nativegates_ibm_qiskit_opt3_84,,,,,,,,,,,,,,,,2.0,2.0,32,3.249999999999999e-06,0.8999957617613863
16,graphstate_nativegates_ibm_qiskit_opt3_84,6.0,6.0,48.0,3.3999999999999988e-06,0.8964012224306988,,,,,,,,,,,,,,,
27,graphstate_nativegates_ibm_qiskit_opt3_84,4.0,4.0,48.0,3.249999999999999e-06,0.898196693951472,,,,,,,,,,,,,,,
65,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,,,,,,2.0,2.0,32,4.210000000000008e-05,0.8330464088920861
50,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,4.0,3.0,256,3.235000000000005e-05,0.8313812189888684,,,,,,,,,,
65,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,2.0,2.0,32,4.210000000000008e-05,0.8330464088920861,,,,,
27,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,8.0,5.0,256,1.7399999999999996e-05,0.8280608182537581,,,,,
27,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,,,,,,8.0,5.0,256,1.7399999999999996e-05,0.8280608182537581
27,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,8.0,5.0,256,1.7399999999999996e-05,0.8280608182537581,,,,,,,,,,
50,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,4.0,3.0,256,3.235000000000005e-05,0.8313812189888684,,,,,
50,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,,,,,,,,,,,4.0,3.0,256,3.235000000000005e-05,0.8313812189888684
65,wstate_nativegates_ibm_qiskit_opt3_124,,,,,,2.0,2.0,32,4.210000000000008e-05,0.8330464088920861,,,,,,,,,,
65,wstate_nativegates_ibm_qiskit_opt3_124,2.0,2.0,32.0,4.210000000000008e-05,0.8330464076419416,,,,,,,,,,,,,,,
27,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,90.0,5.0,18014398509481984,2.5699999999999978e-05,0.6796449308256944,,,,,,,,,,
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552,,,,,
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552
16,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,210.0,15.0,4294967296,1.4700000000000005e-05,0.6028538633490552,,,,,,,,,,
27,realamprandom_nativegates_ibm_qiskit_opt3_30,,,,,,,,,,,,,,,,90.0,5.0,18014398509481984,2.5699999999999978e-05,0.6796449308256944
