name,qpu_width,mip_num_cuts,mip_subcircuits_num,mip_DataFlux,mip_Latency,mip_Fidelity,mip_min_latency,mip_QU,basic_num_cuts,basic_subcircuits_num,basic_DataFlux,basic_Latency,basic_Fidelity,basic_min_latency,basic_QU,error_num_cuts,error_subcircuits_num,error_DataFlux,error_Latency,error_Fidelity,error_min_latency,error_QU,latency_min_latency,latency_QU,width,depth,two_qubit_gate_num,one_qubit_gate_num,size,qubit_utilizztion,fidelity,latency_all
dj_indep_qiskit_103,27,3.0,4.0,40.0,1.3100000000000003e-05,0.8793987645559422,1.2600000000000005e-05,0.0857890882355541,3.0,4.0,40,1.3100000000000003e-05,0.8793987548339096,1.2100000000000004e-05,0.0858076931252865,3.0,4.0,40,1.3100000000000003e-05,0.8793987548339096,1.2100000000000004e-05,0.0858076931252865,1.2100000000000004e-05,0.0858076931252865,103,104,102,205,307,0.04176355687842995,0.9777480946812049,5.109999999999991e-05
dj_indep_qiskit_103,50,2.0,3.0,24.0,2.109999999999999e-05,0.8802745699051753,1.2600000000000005e-05,0.1510446355213317,2.0,3.0,24,2.459999999999998e-05,0.8802692190837432,2.1e-06,0.1932676460928084,2.0,3.0,24,2.459999999999998e-05,0.8802692190837432,2.1e-06,0.1932676460928084,2.1e-06,0.1932676460928084,103,104,102,205,307,0.04176355687842995,0.9777480946812049,5.109999999999991e-05
dj_indep_qiskit_103,65,1.0,2.0,8.0,3.209999999999996e-05,0.8811471741380719,1.91e-05,0.2729372465411177,1.0,2.0,8,3.209999999999996e-05,0.8811471509924933,1.91e-05,0.2729372465411177,1.0,2.0,8,3.209999999999996e-05,0.8811471509924933,1.91e-05,0.2729372465411177,1.91e-05,0.2729372465411177,103,104,102,205,307,0.04176355687842995,0.9777480946812049,5.109999999999991e-05
dj_indep_qiskit_109,27,4.0,5.0,40.0,1.2600000000000005e-05,0.8721102242272366,8.1e-06,0.0503079241637256,4.0,5.0,52,1.3100000000000003e-05,0.8721089109646706,2.1e-06,0.060523487324233,4.0,5.0,52,1.3100000000000003e-05,0.8721089109646706,2.1e-06,0.060523487324233,2.1e-06,0.060523487324233,109,110,108,217,325,0.039513273600744754,0.9764520535019188,5.40999999999999e-05
dj_indep_qiskit_109,50,2.0,3.0,24.0,2.109999999999999e-05,0.8738501655955874,1.4100000000000004e-05,0.1491867765971277,2.0,3.0,24,2.459999999999998e-05,0.8738461460961421,5.1e-06,0.1629002859882139,2.0,3.0,24,2.459999999999998e-05,0.8738461460961421,5.1e-06,0.1629002859882139,5.1e-06,0.1629002859882139,109,110,108,217,325,0.039513273600744754,0.9764520535019188,5.40999999999999e-05
dj_indep_qiskit_109,65,1.0,2.0,8.0,3.209999999999996e-05,0.8747158966478324,2.209999999999999e-05,0.2710126170814633,1.0,2.0,8,3.209999999999996e-05,0.874715878962839,2.209999999999999e-05,0.2710126170814633,1.0,2.0,8,3.209999999999996e-05,0.874715878962839,2.209999999999999e-05,0.2710126170814633,2.209999999999999e-05,0.2710126170814633,109,110,108,217,325,0.039513273600744754,0.9764520535019188,5.40999999999999e-05
dj_indep_qiskit_113,27,4.0,5.0,40.0,1.3100000000000003e-05,0.8678623234065019,8.6e-06,0.0491983098054245,4.0,5.0,52,1.3100000000000003e-05,0.8678614166871392,4.1e-06,0.0528222393054568,4.0,5.0,52,1.3100000000000003e-05,0.8678614166871392,4.1e-06,0.0528222393054568,4.1e-06,0.0528222393054568,113,114,112,225,337,0.03814313346228244,0.9755887812278107,5.609999999999989e-05
dj_indep_qiskit_113,50,2.0,3.0,24.0,2.209999999999999e-05,0.8695928423707749,1.3600000000000004e-05,0.1486730143025858,2.0,3.0,24,2.459999999999998e-05,0.8695899817605329,7.1000000000000015e-06,0.1558892923820715,2.0,3.0,24,2.459999999999998e-05,0.8695899817605329,7.1000000000000015e-06,0.1558892923820715,7.1000000000000015e-06,0.1558892923820715,113,114,112,225,337,0.03814313346228244,0.9755887812278107,5.609999999999989e-05
dj_indep_qiskit_113,65,1.0,2.0,8.0,3.209999999999996e-05,0.8704543018635196,2.4099999999999983e-05,0.2699902445175538,1.0,2.0,8,3.209999999999996e-05,0.8704542877787945,2.4099999999999983e-05,0.2699902445175538,1.0,2.0,8,3.209999999999996e-05,0.8704542877787945,2.4099999999999983e-05,0.2699902445175538,2.4099999999999983e-05,0.2699902445175538,113,114,112,225,337,0.03814313346228244,0.9755887812278107,5.609999999999989e-05
dj_indep_qiskit_117,27,4.0,5.0,52.0,1.3100000000000003e-05,0.8636349382244786,8.6e-06,0.0485100308555648,4.0,5.0,52,1.3100000000000003e-05,0.8636344708812671,6.100000000000001e-06,0.0497502789201327,4.0,5.0,52,1.3100000000000003e-05,0.8636344708812671,6.100000000000001e-06,0.0497502789201327,6.100000000000001e-06,0.0497502789201327,117,118,116,233,349,0.03686482896047828,0.974726112652348,5.809999999999989e-05
dj_indep_qiskit_117,50,2.0,3.0,24.0,2.109999999999999e-05,0.8653569158384162,1.6100000000000005e-05,0.1472006352795457,2.0,3.0,24,2.459999999999998e-05,0.8653544086989936,9.1e-06,0.1517920090838417,2.0,3.0,24,2.459999999999998e-05,0.8653544086989936,9.1e-06,0.1517920090838417,9.1e-06,0.1517920090838417,117,118,116,233,349,0.03686482896047828,0.974726112652348,5.809999999999989e-05
dj_indep_qiskit_117,65,1.0,2.0,8.0,3.209999999999996e-05,0.8662133295292588,2.6099999999999977e-05,0.2691215749804824,1.0,2.0,8,3.209999999999996e-05,0.8662133190129553,2.6099999999999977e-05,0.2691215749804824,1.0,2.0,8,3.209999999999996e-05,0.8662133190129553,2.6099999999999977e-05,0.2691215749804824,2.6099999999999977e-05,0.2691215749804824,117,118,116,233,349,0.03686482896047828,0.974726112652348,5.809999999999989e-05
dj_indep_qiskit_126,27,4.0,5.0,40.0,1.3100000000000003e-05,0.854198497156299,1.1100000000000002e-05,0.0468269113251363,4.0,5.0,52,1.3100000000000003e-05,0.8541984619686211,1.0600000000000002e-05,0.0468756210392351,4.0,5.0,52,1.3100000000000003e-05,0.8541984619686211,1.0600000000000002e-05,0.0468756210392351,1.0600000000000002e-05,0.0468756210392351,126,127,125,251,376,0.034279946667331286,0.9727873136596037,6.259999999999988e-05
dj_indep_qiskit_126,50,2.0,3.0,24.0,2.459999999999998e-05,0.8558998916192379,1.6100000000000005e-05,0.1458928736664323,2.0,3.0,24,2.459999999999998e-05,0.8558991438742536,1.3600000000000004e-05,0.1468176977418659,2.0,3.0,24,2.459999999999998e-05,0.8558991438742536,1.3600000000000004e-05,0.1468176977418659,1.3600000000000004e-05,0.1468176977418659,126,127,125,251,376,0.034279946667331286,0.9727873136596037,6.259999999999988e-05
dj_indep_qiskit_126,65,1.0,2.0,8.0,3.159999999999996e-05,0.8567460459315105,3.109999999999996e-05,0.2675668296985671,1.0,2.0,8,3.209999999999996e-05,0.8567460268450727,3.0599999999999965e-05,0.2675754908200513,1.0,2.0,8,3.209999999999996e-05,0.8567460268450727,3.0599999999999965e-05,0.2675754908200513,3.0599999999999965e-05,0.2675754908200513,126,127,125,251,376,0.034279946667331286,0.9727873136596037,6.259999999999988e-05
dj_indep_qiskit_28,5,6.0,7.0,40.0,2.1e-06,0.9608204395755016,1.6e-06,0.0966860029604063,6.0,7.0,52,2.1e-06,0.9608204395755016,1.6e-06,0.0966860029604062,6.0,7.0,52,2.1e-06,0.9608204395755016,1.6e-06,0.0966860029604062,1.6e-06,0.0966860029604062,28,29,27,55,82,0.1449451887941534,0.9940638160655005,1.3600000000000004e-05
dj_indep_qiskit_28,10,2.0,3.0,24.0,4.6e-06,0.9646726777626988,4.6e-06,0.2243220378380043,2.0,3.0,24,4.6e-06,0.9646726777626988,4.6e-06,0.2243220378380043,2.0,3.0,24,4.6e-06,0.9646726777626988,4.6e-06,0.2243220378380043,4.6e-06,0.2243220378380043,28,29,27,55,82,0.1449451887941534,0.9940638160655005,1.3600000000000004e-05
dj_indep_qiskit_28,16,1.0,2.0,8.0,7.600000000000002e-06,0.9656377038839458,6.100000000000001e-06,0.3311834742317646,1.0,2.0,8,7.600000000000002e-06,0.965637700979166,6.100000000000001e-06,0.3311834742317646,1.0,2.0,8,7.600000000000002e-06,0.965637700979166,6.100000000000001e-06,0.3311834742317646,6.100000000000001e-06,0.3311834742317646,28,29,27,55,82,0.1449451887941534,0.9940638160655005,1.3600000000000004e-05
dj_indep_qiskit_28,27,1.0,2.0,8.0,8.6e-06,0.9656376089944724,5.1e-06,0.3351414855347823,1.0,2.0,8,1.3100000000000003e-05,0.965636199208013,6e-07,0.5179118367731599,1.0,2.0,8,1.3100000000000003e-05,0.965636199208013,6e-07,0.5179118367731599,6e-07,0.5179118367731599,28,29,27,55,82,0.1449451887941534,0.9940638160655005,1.3600000000000004e-05
dj_indep_qiskit_30,5,7.0,8.0,52.0,2.1e-06,0.9575194351326732,1.6e-06,0.0782564535008115,7.0,8.0,52,2.1e-06,0.9575194063917636,6e-07,0.0867531813831614,7.0,8.0,52,2.1e-06,0.9575194063917636,6e-07,0.0867531813831614,6e-07,0.0867531813831614,30,31,29,59,88,0.13598638008086825,0.9936259498961456,1.4600000000000004e-05
